,STATEFIPS,YEAR,Child Poverty Rate
2019,05,2022,0.22
2020,09,2022,0.12
2021,08,2022,0.11
2023,10,2022,0.13
2024,13,2022,0.17
2025,12,2022,0.17
2026,16,2022,0.13
2027,15,2022,0.13
2028,18,2022,0.16
2029,17,2022,0.16
2030,21,2022,0.21
2031,20,2022,0.14
2032,19,2022,0.12
2033,23,2022,0.12
2034,22,2022,0.25
2035,25,2022,0.12
2036,24,2022,0.12
2037,27,2022,0.11
2038,26,2022,0.18
2039,29,2022,0.17
2040,28,2022,0.26
2041,31,2022,0.14
2042,30,2022,0.13
2043,33,2022,0.07
2044,32,2022,0.16
2045,36,2022,0.19
2046,34,2022,0.13
2047,35,2022,0.23
2048,38,2022,0.13
2049,37,2022,0.17
2050,40,2022,0.2
2051,39,2022,0.18
2052,42,2022,0.15
2053,41,2022,0.14
2054,45,2022,0.19
2055,44,2022,0.12
2056,47,2022,0.18
2057,46,2022,0.15
2058,49,2022,0.08
2059,48,2022,0.19
2060,51,2022,0.13
2061,50,2022,0.12
2062,55,2022,0.13
2063,54,2022,0.25
2064,53,2022,0.11
2066,56,2022,0.14
2173,56,2019,0.12
2174,55,2019,0.14
2176,54,2019,0.2
2177,50,2019,0.1
2178,51,2019,0.13
2179,53,2019,0.12
2180,48,2019,0.19
2181,49,2019,0.1
2182,46,2019,0.15
2183,47,2019,0.2
2184,42,2019,0.17
2185,44,2019,0.14
2186,45,2019,0.2
2187,41,2019,0.13
2188,39,2019,0.18
2189,40,2019,0.2
2190,37,2019,0.2
2191,38,2019,0.1
2192,35,2019,0.25
2193,36,2019,0.18
2194,34,2019,0.12
2195,33,2019,0.07
2196,32,2019,0.17
2197,31,2019,0.11
2198,30,2019,0.15
2199,28,2019,0.28
2200,29,2019,0.17
2201,27,2019,0.11
2202,26,2019,0.18
2203,25,2019,0.12
2204,24,2019,0.12
2205,23,2019,0.14
2206,22,2019,0.27
2207,20,2019,0.15
2208,21,2019,0.22
2209,19,2019,0.13
2210,17,2019,0.16
2211,18,2019,0.15
2212,15,2019,0.12
2213,16,2019,0.13
2215,12,2019,0.18
2216,13,2019,0.19
2217,10,2019,0.16
2218,08,2019,0.11
2219,09,2019,0.14
2220,05,2019,0.22
2221,06,2019,0.16
2222,01,2019,0.21
2223,02,2019,0.13
2224,04,2019,0.19
2227,04,2021,0.17
2228,02,2021,0.12
2229,01,2021,0.22
2230,06,2021,0.16
2231,05,2021,0.22
2232,09,2021,0.13
2233,08,2021,0.12
2234,10,2021,0.17
2235,13,2021,0.2
2236,12,2021,0.18
2238,16,2021,0.13
2239,15,2021,0.14
2240,18,2021,0.16
2241,17,2021,0.16
2242,19,2021,0.13
2243,21,2021,0.22
2244,20,2021,0.13
2245,22,2021,0.27
2246,23,2021,0.15
2247,24,2021,0.14
2248,25,2021,0.13
2249,26,2021,0.18
2250,27,2021,0.11
2251,29,2021,0.16
2252,28,2021,0.28
2253,30,2021,0.14
2254,31,2021,0.13
2255,32,2021,0.19
2256,33,2021,0.09
2257,34,2021,0.14
2258,36,2021,0.19
2259,35,2021,0.24
2260,38,2021,0.1
2261,37,2021,0.18
