,State,Enrolled Individuals,Year
2,19,345406.0833,2018
3,26,1281861.5,2018
4,27,428986.0,2018
5,39,1421365.5833,2018
6,55,652884.5833,2018
0,04,845732.5,2018
1,05,372451.1667,2018
2,22,867341.5833,2018
3,35,456250.5833,2018
4,40,585064.0,2018
5,48,3895206.8333,2018
6,49,189092.6667,2018
0,08,449823.8333,2018
1,20,217419.5833,2018
2,29,736590.3333,2018
3,30,115222.8333,2018
4,31,169811.0833,2018
5,38,52621.0,2018
6,46,87409.8333,2018
7,56,29330.1667,2018
0,02,91995.0,2018
1,06,3949534.9167,2018
2,66,44974.4167,2018
3,15,163617.5,2018
4,16,157858.1667,2018
5,32,439940.6667,2018
6,41,633970.0833,2018
7,53,877243.9167,2018
0,09,340446.5,2019
1,23,144432.6667,2019
2,25,703516.1667,2019
3,33,70411.8333,2019
4,36,2661700.3333,2019
5,44,141232.4167,2019
6,50,68276.8333,2019
7,78,21331.0,2019
0,10,119786.75,2019
2,24,570443.6667,2019
3,34,649127.5,2019
4,42,1627639.6667,2019
5,51,654882.25,2019
6,54,282662.25,2019
0,01,667042.9167,2019
1,12,2649741.3333,2019
2,13,1332536.1667,2019
3,21,502241.0833,2019
4,28,420872.8333,2019
5,37,1228423.6667,2019
6,45,558721.5,2019
7,47,832129.9167,2019
0,17,1639396.3333,2019
1,18,530384.1667,2019
2,19,295681.6667,2019
3,26,1181972.25,2019
4,27,381778.5833,2019
5,39,1273256.75,2019
6,55,572323.25,2019
0,04,736882.5833,2019
1,05,354916.75,2019
2,22,749560.3333,2019
3,35,415160.9167,2019
4,40,531727.8333,2019
5,48,3187238.0833,2019
6,49,160829.25,2019
0,08,415289.4167,2019
1,20,185329.1667,2019
2,29,639337.8333,2019
3,30,99368.4167,2019
4,31,148767.5833,2019
5,38,45311.8333,2019
6,46,75020.3333,2019
7,56,24308.9167,2019
0,02,78932.0,2019
1,06,3529470.0,2019
2,66,40930.25,2019
3,15,144922.4167,2019
4,16,135922.0833,2019
5,32,391568.5,2019
6,41,554927.4167,2019
7,53,833127.9167,2019
0,09,372304.8333,2020
1,23,159995.3333,2020
2,25,821254.1667,2020
3,33,72504.5,2020
4,36,2658439.1667,2020
5,44,146183.1667,2020
6,50,68568.3333,2020
7,78,22519.9167,2020
0,10,120416.3333,2020
2,24,700978.8333,2020
3,34,700537.5,2020
4,42,1794613.0,2020
6,51,730370.0833,2020
7,54,306217.5,2020
0,01,730708.0833,2020
1,12,3177286.0,2020
2,13,1565934.9167,2020
3,21,555425.3333,2020
4,28,429567.8333,2020
5,37,1317566.0833,2020
6,45,596161.0,2020
7,47,868935.75,2020
0,17,1865896.0,2020
1,18,601417.4167,2020
2,19,310564.1667,2020
3,26,1254475.25,2020
4,27,409274.5,2020
5,39,1396860.0833,2020
6,55,647376.4167,2020
0,04,833448.3333,2020
1,05,371265.4167,2020
2,22,830750.0833,2020
3,35,468745.0833,2020
4,40,596705.3333,2020
5,48,3551010.9167,2020
6,49,164040.6667,2020
0,08,483096.6667,2020
1,20,200443.0833,2020
2,29,715446.9167,2020
3,30,104390.5,2020
4,31,157091.1667,2020
5,38,46092.25,2020
6,46,78245.4167,2020
7,56,26928.1667,2020
0,02,83193.8333,2020
2,06,4312001.75,2020
3,66,44041.0833,2020
4,15,165418.0,2020
5,16,146496.75,2020
6,32,448688.0833,2020
7,41,635484.6667,2020
8,53,870996.5833,2020
0,09,371632.25,2021
1,23,158096.5833,2021
2,25,929028.8333,2021
3,33,69116.3333,2021
4,36,2780713.8333,2021
5,44,142148.5,2021
6,50,67789.5833,2021
7,78,23960.75,2021
0,10,115483.5,2021
2,24,823501.25,2021
3,34,825664.1667,2021
4,42,1766450.0,2021
6,51,750784.6667,2021
7,54,302443.8333,2021
0,01,769605.5833,2021
1,12,3342501.1667,2021
2,13,1640617.25,2021
3,21,597747.0,2021
4,28,418450.6667,2021
5,37,1541660.6667,2021
6,45,608106.5,2021
7,47,881346.8333,2021
0,17,2054052.9167,2021
1,18,645754.4167,2021
2,19,286050.4167,2021
3,26,1278212.5833,2021
4,27,452651.5833,2021
5,39,1509437.6667,2021
6,55,762395.0833,2021
0,04,879123.0833,2021
1,05,346176.4167,2021
2,22,924724.0,2021
3,35,520494.1667,2021
4,40,619148.8333,2021
5,48,3408385.1667,2021
6,49,163009.75,2021
0,08,513945.0833,2021
1,20,200344.25,2021
2,29,698720.0,2021
3,30,97186.4167,2021
4,31,157272.5833,2021
5,38,50376.5,2021
6,46,74627.4167,2021
7,56,29118.0,2021
0,02,82887.5,2021
2,06,4327061.6667,2021
3,66,39607.9167,2021
4,15,195833.75,2021
5,16,132607.25,2021
6,32,453249.8333,2021
7,41,706294.0833,2021
8,53,927998.5,2021
0,09,375361.0,2022
1,23,162158.9167,2022
2,25,1024441.8333,2022
3,33,69343.0833,2022
4,36,2839326.3333,2022
5,44,139361.5833,2022
6,50,69483.0833,2022
7,78,22215.25,2022
0,10,118841.5,2022
2,24,772731.1667,2022
3,34,857303.8333,2022
4,42,1845635.5,2022
6,51,794646.0833,2022
7,54,310878.75,2022
0,01,761073.5833,2022
1,12,2847085.6667,2022
2,13,1608202.75,2022
3,21,541623.3333,2022
4,28,413650.75,2022
5,37,1599929.5,2022
6,45,618977.9167,2022
7,47,825339.9167,2022
0,17,1981713.6667,2022
1,18,617629.9167,2022
2,19,278826.75,2022
3,26,1351310.0833,2022
4,27,435909.9167,2022
5,39,1491293.6667,2022
6,55,708237.6667,2022
0,04,825666.25,2022
1,05,280389.8333,2022
2,22,822648.6667,2022
3,35,518799.1667,2022
4,40,650639.6667,2022
5,48,3440725.75,2022
6,49,156290.5833,2022
0,08,540303.0833,2022
1,20,195798.8333,2022
2,29,657870.1667,2022
3,30,89167.0,2022
4,31,155549.5833,2022
5,38,47416.5833,2022
6,46,71012.25,2022
7,56,30177.5833,2022
0,02,92119.1667,2022
2,06,4627744.25,2022
3,66,36150.1667,2022
4,15,169013.5,2022
5,16,124077.75,2022
6,32,455231.1667,2022
7,41,718579.6667,2022
8,53,874542.6667,2022
0,09,392515.4167,2023
